_id,objectid_1,objectid,created_user,created_date,last_edited_user,last_edited_date,slope25,shape_are,shape_len,shape_area,shape_length
230518,574,2,pgh.admin,2018-04-04T16:11:46,pgh.admin,2018-04-04T16:11:46,Yes,0.00386219,69.93739244,7964.22576904297,747.0415229394
230519,575,2,pgh.admin,2018-04-04T16:11:46,pgh.admin,2018-04-04T16:11:46,Yes,0.00386219,69.93739244,45933.6965942383,3817.56377858365
230520,576,2,pgh.admin,2018-04-04T16:11:46,pgh.admin,2018-04-04T16:11:46,Yes,0.00386219,69.93739244,86076.7286987305,6983.31485002412
230521,577,2,pgh.admin,2018-04-04T16:11:46,pgh.admin,2018-04-04T16:11:46,Yes,0.00386219,69.93739244,115246.109619141,11256.3797264167
230522,578,2,pgh.admin,2018-04-04T16:11:46,pgh.admin,2018-04-04T16:11:46,Yes,0.00386219,69.93739244,20985.240234375,2370.6306787127
230523,579,2,pgh.admin,2018-04-04T16:11:46,pgh.admin,2018-04-04T16:11:46,Yes,0.00386219,69.93739244,216015.368347168,10308.0762492782
230524,580,2,pgh.admin,2018-04-04T16:11:46,pgh.admin,2018-04-04T16:11:46,Yes,0.00386219,69.93739244,91282.3654785156,7867.76694065824
230525,581,2,pgh.admin,2018-04-04T16:11:46,pgh.admin,2018-04-04T16:11:46,Yes,0.00386219,69.93739244,3939.77459716797,599.313713536771
230526,582,2,pgh.admin,2018-04-04T16:11:46,pgh.admin,2018-04-04T16:11:46,Yes,0.00386219,69.93739244,53684.5972290039,3772.82879555543
230527,583,2,pgh.admin,2018-04-04T16:11:46,pgh.admin,2018-04-04T16:11:46,Yes,0.00386219,69.93739244,159745.682800293,9664.89363450755
230528,584,2,pgh.admin,2018-04-04T16:11:46,pgh.admin,2018-04-04T16:11:46,Yes,0.00386219,69.93739244,238278.362701416,12971.0002221786
230529,585,2,pgh.admin,2018-04-04T16:11:46,pgh.admin,2018-04-04T16:11:46,Yes,0.00386219,69.93739244,210195.401916504,10299.675929944
230530,586,2,pgh.admin,2018-04-04T16:11:46,pgh.admin,2018-04-04T16:11:46,Yes,0.00386219,69.93739244,356958.806274414,14424.9513234921
230531,587,2,pgh.admin,2018-04-04T16:11:46,pgh.admin,2018-04-04T16:11:46,Yes,0.00386219,69.93739244,332129.111450195,17795.0100142474
230532,588,2,pgh.admin,2018-04-04T16:11:46,pgh.admin,2018-04-04T16:11:46,Yes,0.00386219,69.93739244,604199.376342773,22873.5733392287
230533,589,2,pgh.admin,2018-04-04T16:11:46,pgh.admin,2018-04-04T16:11:46,Yes,0.00386219,69.93739244,31377.7501220703,2874.69899135535
230534,590,2,pgh.admin,2018-04-04T16:11:46,pgh.admin,2018-04-04T16:11:46,Yes,0.00386219,69.93739244,383151.506286621,19620.6012215366
230535,591,2,pgh.admin,2018-04-04T16:11:46,pgh.admin,2018-04-04T16:11:46,Yes,0.00386219,69.93739244,474204.922302246,23482.7055079951
230536,592,2,pgh.admin,2018-04-04T16:11:46,pgh.admin,2018-04-04T16:11:46,Yes,0.00386219,69.93739244,419561.485046387,26996.1458384522
230537,593,2,pgh.admin,2018-04-04T16:11:46,pgh.admin,2018-04-04T16:11:46,Yes,0.00386219,69.93739244,484554.109375,14511.3990981808
230538,594,2,pgh.admin,2018-04-04T16:11:46,pgh.admin,2018-04-04T16:11:46,Yes,0.00386219,69.93739244,250682.455322266,19261.6019088576
230539,595,2,pgh.admin,2018-04-04T16:11:46,pgh.admin,2018-04-04T16:11:46,Yes,0.00386219,69.93739244,452305.187316895,16337.0985365249
230540,596,2,pgh.admin,2018-04-04T16:11:46,pgh.admin,2018-04-04T16:11:46,Yes,0.00386219,69.93739244,197409.934387207,17726.5905678903
230541,597,2,pgh.admin,2018-04-04T16:11:46,pgh.admin,2018-04-04T16:11:46,Yes,0.00386219,69.93739244,399707.761413574,13674.888447964
230542,598,2,pgh.admin,2018-04-04T16:11:46,pgh.admin,2018-04-04T16:11:46,Yes,0.00386219,69.93739244,308083.712524414,20921.0470854898
230543,599,2,pgh.admin,2018-04-04T16:11:46,pgh.admin,2018-04-04T16:11:46,Yes,0.00386219,69.93739244,235784.166534424,16962.1132917117
230544,600,2,pgh.admin,2018-04-04T16:11:46,pgh.admin,2018-04-04T16:11:46,Yes,0.00386219,69.93739244,96048.5905761719,10153.4571228895
230545,601,2,pgh.admin,2018-04-04T16:11:46,pgh.admin,2018-04-04T16:11:46,Yes,0.00386219,69.93739244,511103.458465576,23729.8322620083
230546,602,2,pgh.admin,2018-04-04T16:11:46,pgh.admin,2018-04-04T16:11:46,Yes,0.00386219,69.93739244,33299.7200317383,3924.75160676837
230547,603,2,pgh.admin,2018-04-04T16:11:46,pgh.admin,2018-04-04T16:11:46,Yes,0.00386219,69.93739244,44841.3451538086,3659.94615662828
230548,604,2,pgh.admin,2018-04-04T16:11:46,pgh.admin,2018-04-04T16:11:46,Yes,0.00386219,69.93739244,32577.8002319336,2554.78908983038
230549,605,2,pgh.admin,2018-04-04T16:11:46,pgh.admin,2018-04-04T16:11:46,Yes,0.00386219,69.93739244,29735.196472168,2915.90422184771
230550,606,2,pgh.admin,2018-04-04T16:11:46,pgh.admin,2018-04-04T16:11:46,Yes,0.00386219,69.93739244,346962.843139648,13445.0901398303
230551,607,2,pgh.admin,2018-04-04T16:11:46,pgh.admin,2018-04-04T16:11:46,Yes,0.00386219,69.93739244,30071.4588012695,2617.54075554265
230552,608,2,pgh.admin,2018-04-04T16:11:46,pgh.admin,2018-04-04T16:11:46,Yes,0.00386219,69.93739244,52800.1995849609,5719.00609469289
230553,609,2,pgh.admin,2018-04-04T16:11:46,pgh.admin,2018-04-04T16:11:46,Yes,0.00386219,69.93739244,23599.6958007813,2559.21105693732
230554,610,2,pgh.admin,2018-04-04T16:11:46,pgh.admin,2018-04-04T16:11:46,Yes,0.00386219,69.93739244,544280.061340332,24605.145085636
230555,611,2,pgh.admin,2018-04-04T16:11:46,pgh.admin,2018-04-04T16:11:46,Yes,0.00386219,69.93739244,413226.499816895,18920.8595999702
230556,612,2,pgh.admin,2018-04-04T16:11:46,pgh.admin,2018-04-04T16:11:46,Yes,0.00386219,69.93739244,50948.8455810547,4762.10965895011
230557,613,2,pgh.admin,2018-04-04T16:11:46,pgh.admin,2018-04-04T16:11:46,Yes,0.00386219,69.93739244,23129.878112793,2155.71245179466
230558,614,2,pgh.admin,2018-04-04T16:11:46,pgh.admin,2018-04-04T16:11:46,Yes,0.00386219,69.93739244,471273.736328125,32148.9215358563
230559,615,2,pgh.admin,2018-04-04T16:11:46,pgh.admin,2018-04-04T16:11:46,Yes,0.00386219,69.93739244,614948.539794922,26890.7772855201
230560,616,2,pgh.admin,2018-04-04T16:11:46,pgh.admin,2018-04-04T16:11:46,Yes,0.00386219,69.93739244,127094.529785156,9504.56997914633
230561,617,2,pgh.admin,2018-04-04T16:11:46,pgh.admin,2018-04-04T16:11:46,Yes,0.00386219,69.93739244,17765.1981811523,2058.26703167608
230562,618,2,pgh.admin,2018-04-04T16:11:46,pgh.admin,2018-04-04T16:11:46,Yes,0.00386219,69.93739244,73518.6364746094,4041.87245482607
230563,619,2,pgh.admin,2018-04-04T16:11:46,pgh.admin,2018-04-04T16:11:46,Yes,0.00386219,69.93739244,454511.161132813,19105.5035904843
230564,620,2,pgh.admin,2018-04-04T16:11:46,pgh.admin,2018-04-04T16:11:46,Yes,0.00386219,69.93739244,327834.878173828,18580.5096036593
230565,621,2,pgh.admin,2018-04-04T16:11:46,pgh.admin,2018-04-04T16:11:46,Yes,0.00386219,69.93739244,422057.772827148,19284.5420935007
230566,622,2,pgh.admin,2018-04-04T16:11:46,pgh.admin,2018-04-04T16:11:46,Yes,0.00386219,69.93739244,1798.54510498047,288.128401583073
230567,623,2,pgh.admin,2018-04-04T16:11:46,pgh.admin,2018-04-04T16:11:46,Yes,0.00386219,69.93739244,23804.3189086914,1933.25478625932
230568,624,2,pgh.admin,2018-04-04T16:11:46,pgh.admin,2018-04-04T16:11:46,Yes,0.00386219,69.93739244,51362.5562744141,5363.59091810331
230569,625,2,pgh.admin,2018-04-04T16:11:46,pgh.admin,2018-04-04T16:11:46,Yes,0.00386219,69.93739244,47279.0637207031,4599.00276669278
230570,626,2,pgh.admin,2018-04-04T16:11:46,pgh.admin,2018-04-04T16:11:46,Yes,0.00386219,69.93739244,11866.1969604492,2321.36961988939
230571,627,2,pgh.admin,2018-04-04T16:11:46,pgh.admin,2018-04-04T16:11:46,Yes,0.00386219,69.93739244,4167.33624267578,672.149078739386
230572,628,2,pgh.admin,2018-04-04T16:11:46,pgh.admin,2018-04-04T16:11:46,Yes,0.00386219,69.93739244,24940.8309326172,2784.50254098753
